[2026-09-24T17:06:19] [INFO] --- Starting Player Rank Import Task ---
[2026-09-24T17:06:19] [INFO] Starting new rank fetch cycle for マスター (master)...
[2026-09-24T17:06:19] [ERROR] [prefecture] マスター(master) p110: **prefectureId が返ってきていない**。実際の項目名: id, playerId, nickname, currentLeagueId, currentRanking, prefectureName, championShipPoint, publicFlg, championFlg, avatarImage
[2026-09-24T17:06:19] [ERROR] [prefecture] マスター(master) p111: **prefectureId が返ってきていない**。実際の項目名: id, playerId, nickname, currentLeagueId, currentRanking, prefectureName, championShipPoint, publicFlg, championFlg, avatarImage
[2026-09-24T17:06:19] [ERROR] [prefecture] マスター(master) p112: **prefectureId が返ってきていない**。実際の項目名: id, playerId, nickname, currentLeagueId, currentRanking, prefectureName, championShipPoint, publicFlg, championFlg, avatarImage
[2026-09-24T17:06:19] [ERROR] [prefecture] マスター(master) p113: **prefectureId が返ってきていない**。実際の項目名: id, playerId, nickname, currentLeagueId, currentRanking, prefectureName, championShipPoint, publicFlg, championFlg, avatarImage
[2026-09-24T17:06:19] [ERROR] [prefecture] マスター(master) p114: **prefectureId が返ってきていない**。実際の項目名: id, playerId, nickname, currentLeagueId, currentRanking, prefectureName, championShipPoint, publicFlg, championFlg, avatarImage
[2026-09-24T17:06:19] [ERROR] [prefecture] マスター(master) p115: **prefectureId が返ってきていない**。実際の項目名: id, playerId, nickname, currentLeagueId, currentRanking, prefectureName, championShipPoint, publicFlg, championFlg, avatarImage
[2026-09-24T17:06:19] [ERROR] [prefecture] マスター(master) p116: **prefectureId が返ってきていない**。実際の項目名: id, playerId, nickname, currentLeagueId, currentRanking, prefectureName, championShipPoint, publicFlg, championFlg, avatarImage
[2026-09-24T17:06:19] [ERROR] [prefecture] マスター(master) p117: **prefectureId が返ってきていない**。実際の項目名: id, playerId, nickname, currentLeagueId, currentRanking, prefectureName, championShipPoint, publicFlg, championFlg, avatarImage
[2026-09-24T17:06:19] [ERROR] [prefecture] マスター(master) p118: **prefectureId が返ってきていない**。実際の項目名: id, playerId, nickname, currentLeagueId, currentRanking, prefectureName, championShipPoint, publicFlg, championFlg, avatarImage
[2026-09-24T17:06:19] [ERROR] [prefecture] マスター(master) p119: **prefectureId が返ってきていない**。実際の項目名: id, playerId, nickname, currentLeagueId, currentRanking, prefectureName, championShipPoint, publicFlg, championFlg, avatarImage
[2026-09-24T17:06:19] [ERROR] [prefecture] マスター(master) p120: **prefectureId が返ってきていない**。実際の項目名: id, playerId, nickname, currentLeagueId, currentRanking, prefectureName, championShipPoint, publicFlg, championFlg, avatarImage
